"ID","Term","Alt1","Alt2","Alt3","Alt4","Alt5","Translation1","Translation2","Translation3","Translation4"
"mt000468","Wiederholung","Wdhlg","Wdhlg.",,,,"repetition","repeat",,
"mt000469","Wiederkehr",,,,,,"return",,,
"mt000470","Wirkung",,,,,,"effect",,,
"mt000471","Zerbrechen",,,,,,"disintegration",,,
"mt000472","Zug",,,,,,"linear progression","feature",,
"mt000473","Zusammensetzung",,,,,,"integration","composition",,
"mt000474","zweigestrichen",,,,,,"two-line",,,
"mt000475","zweistimmig","2-stimmig",,,,,"two-voice",,,
"mt000482","zweistimmiger Satz",,,,,,"two-voiced counterpoint","counterpoint in two parts",,
"mt000476","Zweiunddreißigstel",,,,,,"thirty-second-note","demi-semiquaver",,
"mt000477","Zwischenpartie",,,,,,"interlude",,,
"mt000478","Zwischenthema",,,,,,"intermediate theme",,,
"mt000484","Tongebung",,,,,,"intonation",,,
"mt000485","Zeitmass",,,,,,"tempo",,,
